"","TransitionGroupID","Model_Code","annual_probability","BpS_Name","OID_","BLUE","ACRES","REL_PERCENT","annual_dist_acres"
"1","All Fire","11620_31_39_40",0.019731,"Western Great Plains Floodplain Systems",1207,0.803922,139,0,2.742609
"2","All Fire","13010_40",0.0120636,"Boreal Aspen-Birch Forest",1208,0.219608,81593,0,984.3053148
"3","All Fire","13020_40",0.0004724,"Laurentian-Acadian Northern Hardwoods Forest",1209,0,201,0,0.0949524
"4","All Fire","13020_63",0.0004796,"Laurentian-Acadian Northern Hardwoods Forest",1452,0,7531096,2.8,3611.9136416
"5","All Fire","13020_64",0.0005004,"Laurentian-Acadian Northern Hardwoods Forest",1505,0,5656207,2.1,2830.3659828
"6","All Fire","13020_65_66",0.0009998,"Laurentian-Acadian Northern Hardwoods Forest",1482,0,196517,0.1,196.4776966
"7","All Fire","13020_65_66",0.0009998,"Laurentian-Acadian Northern Hardwoods Forest",1540,0,1292,0,1.2917416
"8","All Fire","13022_41_50_51",0.000486,"Laurentian-Acadian Northern Hardwoods Forest - Hemlock",1176,0,5256252,1.9,2554.538472
"9","All Fire","13022_41_50_51",0.000486,"Laurentian-Acadian Northern Hardwoods Forest - Hemlock",1126,0,4963888,1.8,2412.449568
"10","All Fire","13022_41_50_51",0.000486,"Laurentian-Acadian Northern Hardwoods Forest - Hemlock",1152,0,3469406,1.3,1686.131316
"11","All Fire","13022_41_50_51",0.000486,"Laurentian-Acadian Northern Hardwoods Forest - Hemlock",1127,0.588235,3203820,1.2,1557.05652
"12","All Fire","13022_41_50_51",0.000486,"Laurentian-Acadian Northern Hardwoods Forest - Hemlock",1177,0.588235,2324979,0.9,1129.939794
"13","All Fire","13022_41_50_51",0.000486,"Laurentian-Acadian Northern Hardwoods Forest - Hemlock",1153,0.588235,386045,0.1,187.61787
"14","All Fire","13023_51",0.0009718,"Laurentian-Acadian Northern Hardwoods Forest - Northern Sugar Maple-Basswood",1178,0,101825,0,98.953535
"15","All Fire","13030_60",0.2689662,"Northeastern Interior Dry-Mesic Oak Forest",1402,0.392157,1981434,0.7,532938.7735308
"16","All Fire","13030_61_63_64_65_66",0.1843418,"Northeastern Interior Dry-Mesic Oak Forest",1432,0.392157,7523215,2.8,1386842.994887
"17","All Fire","13030_61_63_64_65_66",0.1843418,"Northeastern Interior Dry-Mesic Oak Forest",1453,0.392157,136752,0.1,25209.1098336
