"","OID_","Value","Count","BPS_CODE","ZONE","BPS_MODEL","BPS_NAME","GROUPVEG","FRI_REPLAC","FRI_MIXED","FRI_SURFAC","FRI_ALLFIR","PRC_REPLAC","PRC_MIXED","PRC_SURFAC","FRG_NEW","R","G","B","RED","GREEN","BLUE","ACRES","REL_PERCENT"
"1",1591,2029,100449121,14210,49,"14210_49_52","Central Tallgrass Prairie","Grassland",4,-9999,-9999,4,100,-9999,-9999,"II-A",232,255,196,0.909804,1,0.768627,22339347,8.2
"2",1579,2017,54553536,13100,49,"13100_49","North-Central Interior Dry-Mesic Oak Forest and Woodland","Hardwood",75,47,23,13,17,27,56,"I-B",176,163,222,0.690196,0.639216,0.870588,12132414,4.4
"3",1529,1967,44775672,13130,52,"13130_49_52_62","North-Central Interior Beech-Maple Forest","Hardwood",1026,-9999,852,465,45,-9999,55,"V-A",0,156,44,0,0.611765,0.172549,9957870,3.6
"4",3,11,36468107,11,0,"0","Open Water","Open Water",-9999,-9999,-9999,-9999,-9999,-9999,-9999,"-9999",0,0,255,0,0,1,8110312,3
"5",1232,1670,34667012,14200,39,"14200_39_40_42","Northern Tallgrass Prairie","Grassland",6,-9999,-9999,6,100,-9999,-9999,"II-B",184,132,29,0.721569,0.517647,0.113725,7709758,2.8
"6",1432,1870,33828222,13030,61,"13030_61_63_64_65_66","Northeastern Interior Dry-Mesic Oak Forest","Hardwood",39,24,9,6,14,23,63,"I-B",215,185,100,0.843137,0.72549,0.392157,7523215,2.8
"7",1452,1890,33863657,13020,63,"13020_63","Laurentian-Acadian Northern Hardwoods Forest","Hardwood",2021,-9999,-9999,2021,100,-9999,-9999,"V-B",76,230,0,0.298039,0.901961,0,7531096,2.8
"8",1134,1570,33054824,13940,50,"13940_50_51","North-Central Interior Oak Savanna","Hardwood",66,184,5,5,7,3,90,"I-A",230,213,138,0.901961,0.835294,0.541176,7351216,2.7
"9",1471,1909,33287831,13030,62,"13030_62","Northeastern Interior Dry-Mesic Oak Forest","Hardwood",39,52,8,6,15,11,74,"I-B",215,185,100,0.843137,0.72549,0.392157,7403035,2.7
"10",1181,1619,30755083,13130,51,"13130_47_50_51","North-Central Interior Beech-Maple Forest","Hardwood",1004,-9999,836,456,45,-9999,55,"V-A",0,156,44,0,0.611765,0.172549,6839766,2.5
"11",1505,1943,25433196,13020,64,"13020_64","Laurentian-Acadian Northern Hardwoods Forest","Hardwood",2108,-9999,-9999,2108,100,-9999,-9999,"V-B",76,230,0,0.298039,0.901961,0,5656207,2.1
"12",1527,1965,24585856,13100,52,"13100_52","North-Central Interior Dry-Mesic Oak Forest and Woodland","Hardwood",75,47,23,13,17,27,56,"I-B",176,163,222,0.690196,0.639216,0.870588,5467763,2
"13",1176,1614,23634794,13022,51,"13022_41_50_51","Laurentian-Acadian Northern Hardwoods Forest-Hemlock","Hardwood",2040,-9999,-9999,2040,100,-9999,-9999,"V-B",76,230,0,0.298039,0.901961,0,5256252,1.9
"14",1126,1561,22320177,13022,50,"13022_41_50_51","Laurentian-Acadian Northern Hardwoods Forest-Hemlock","Hardwood",2040,-9999,-9999,2040,100,-9999,-9999,"V-B",76,230,0,0.298039,0.901961,0,4963888,1.8
"15",1458,1896,22303522,13700,63,"13700_60_63_64_65_66","Appalachian (Hemlock-)Northern Hardwood Forest","Hardwood",1010,1122,-9999,531,53,47,-9999,"V-B",214,255,145,0.839216,1,0.568627,4960184,1.8
"16",1170,1608,20227200,14770,41,"14770_40_41_50_51","Boreal Acidic Peatland Systems","Riparian",716,-9999,123,105,15,-9999,85,"III-B",106,0,138,0.415686,0,0.541176,4498421,1.6
"17",1216,1654,18714454,14200,40,"14200_39_40_42","Northern Tallgrass Prairie","Grassland",6,-9999,-9999,6,100,-9999,-9999,"II-B",184,132,29,0.721569,0.517647,0.113725,4161994,1.5
"18",1201,1639,16974315,14810,51,"14810_41_50_51_63","Laurentian-Acadian Alkaline Conifer-Hardwood Swamp","Riparian",989,-9999,-9999,989,100,-9999,-9999,"V-B",232,189,255,0.909804,0.741176,1,3774997,1.4
"19",1152,1588,15600222,13022,41,"13022_41_50_51","Laurentian-Acadian Northern Hardwoods Forest-Hemlock","Hardwood",2040,-9999,-9999,2040,100,-9999,-9999,"V-B",76,230,0,0.298039,0.901961,0,3469406,1.3
"20",1509,1947,16207712,13660,64,"13660_51_63_64_65_66","Laurentian-Acadian Pine-Hemlock-Hardwood Forest","Hardwood-Conifer",482,998,289,153,32,15,53,"III-B",208,255,99,0.815686,1,0.388235,3604508,1.3
"21",1127,1562,14406012,13022,50,"13022_41_50_51","Laurentian-Acadian Northern Hardwoods Forest-Hemlock","Hardwood",2040,-9999,-9999,2040,100,-9999,-9999,"V-B",76,230,150,0.298039,0.901961,0.588235,3203820,1.2
"22",1160,1598,14764984,13653,41,"13653_41","Boreal White Spruce-Fir-Hardwood Forest-Aspen-Birch","Conifer",112,243,-9999,76,68,32,-9999,"III-A",255,255,145,1,1,0.568627,3283653,1.2
"23",1184,1622,14317662,13620,51,"13620_51_63_64_65_66","Laurentian-Acadian Northern Pine(-Oak) Forest","Hardwood-Conifer",309,447,65,48,16,11,73,"III-A",255,191,191,1,0.74902,0.74902,3184171,1.2
"24",1634,2072,14925111,13210,47,"13210_47_48_53_57","South-Central Interior Mesophytic Forest","Hardwood",869,534,86,68,8,13,79,"III-A",71,135,148,0.278431,0.529412,0.580392,3319265,1.2
"25",1158,1596,13018302,13651,41,"13651_40_41_50","Boreal White Spruce-Fir-Hardwood Forest-Inland","Conifer",250,1468,-9999,213,85,15,-9999,"V-A",147,194,114,0.576471,0.760784,0.447059,2895201,1.1
"26",1155,1591,12175245,13140,41,"13140_38_39_40_41_42_43_44_50","North-Central Interior Maple-Basswood Forest","Hardwood",1027,-9999,857,467,46,-9999,54,"V-A",237,161,102,0.929412,0.631373,0.4,2707709,1
"27",1473,1911,12541646,13130,62,"13130_49_52_62","North-Central Interior Beech-Maple Forest","Hardwood",1026,-9999,852,465,45,-9999,55,"V-A",0,156,44,0,0.611765,0.172549,2789195,1
"28",1474,1912,12181784,13170,62,"13170_62","Allegheny-Cumberland Dry Oak Forest and Woodland","Hardwood",37,117,11,8,21,7,72,"I-B",186,184,148,0.729412,0.721569,0.580392,2709164,1
"29",1164,1602,11046083,14072,41,"14072_41_50_51","Laurentian Pine-Oak Barrens-Jack Pine","Conifer",25,46,18,8,34,18,48,"I-B",153,66,100,0.6,0.258824,0.392157,2456590,0.9
"30",1166,1604,10630183,14200,41,"14200_41","Northern Tallgrass Prairie","Grassland",4,-9999,-9999,4,100,-9999,-9999,"II-A",184,132,29,0.721569,0.517647,0.113725,2364096,0.9
"31",1177,1615,10454292,13022,51,"13022_41_50_51","Laurentian-Acadian Northern Hardwoods Forest-Hemlock","Hardwood",2040,-9999,-9999,2040,100,-9999,-9999,"V-B",76,230,150,0.298039,0.901961,0.588235,2324979,0.9
"32",1457,1895,9865029,13690,63,"13690_60_61_63_64_65_66","Central Appalachian Dry Oak-Pine Forest","Hardwood-Conifer",182,463,15,14,8,3,89,"I-B",0,255,220,0,1,0.862745,2193930,0.8
"33",1747,2724,9731564,13622,41,"13622_41_50","Laurentian-Acadian Northern Pine(-Oak) Forest-Pine Dominated","Hardwood-Conifer",230,-9999,40,34,15,-9999,85,"I-C",255,167,127,1,0.654902,0.498039,2164248,0.8
"34",1145,1581,9075955,14770,50,"14770_40_41_50_51","Boreal Acidic Peatland Systems","Riparian",716,-9999,123,105,15,-9999,85,"III-B",106,0,138,0.415686,0,0.541176,2018444,0.7
"35",1161,1599,8909275,13940,41,"13940_39_40_41","North-Central Interior Oak Savanna","Hardwood",550,165,5,5,1,3,96,"I-A",230,213,138,0.901961,0.835294,0.541176,1981375,0.7
"36",1179,1617,8839521,13100,51,"13100_51","North-Central Interior Dry-Mesic Oak Forest and Woodland","Hardwood",161,160,11,9,6,6,88,"I-B",176,163,222,0.690196,0.639216,0.870588,1965862,0.7
"37",1187,1625,8651989,13660,51,"13660_51_63_64_65_66","Laurentian-Acadian Pine-Hemlock-Hardwood Forest","Hardwood-Conifer",482,998,289,153,32,15,53,"III-B",208,255,99,0.815686,1,0.388235,1924156,0.7
"38",1402,1840,8909540,13030,60,"13030_60","Northeastern Interior Dry-Mesic Oak Forest","Hardwood",7,17,15,4,53,22,25,"I-A",215,185,100,0.843137,0.72549,0.392157,1981434,0.7
"39",1629,2067,8737796,13050,47,"13050_47_48","Southern Interior Low Plateau Dry-Mesic Oak Forest","Hardwood",6,199,21,4,77,3,20,"II-A",184,156,33,0.721569,0.611765,0.129412,1943239,0.7
"40",1679,2117,9004321,13100,42,"13100_38_42_43","North-Central Interior Dry-Mesic Oak Forest and Woodland","Hardwood",126,50,76,24,19,49,32,"I-C",176,163,222,0.690196,0.639216,0.870588,2002513,0.7
"41",1749,2726,8533449,13622,50,"13622_41_50","Laurentian-Acadian Northern Pine(-Oak) Forest-Pine Dominated","Hardwood-Conifer",230,-9999,40,34,15,-9999,85,"I-C",255,167,127,1,0.654902,0.498039,1897793,0.7
"42",1131,1566,7653823,13140,50,"13140_38_39_40_41_42_43_44_50","North-Central Interior Maple-Basswood Forest","Hardwood",1027,-9999,857,467,46,-9999,54,"V-A",237,161,102,0.929412,0.631373,0.4,1702169,0.6
"43",1140,1576,7488384,14210,50,"14210_31_38_42_43_44_50_51","Central Tallgrass Prairie","Grassland",4,-9999,-9999,4,100,-9999,-9999,"II-A",232,255,196,0.909804,1,0.768627,1665377,0.6
"44",1154,1590,7138141,13100,41,"13100_41_62","North-Central Interior Dry-Mesic Oak Forest and Woodland","Hardwood",74,56,23,13,18,24,58,"I-B",176,163,222,0.690196,0.639216,0.870588,1587484,0.6
"45",1189,1627,7617028,13950,51,"13950_51","North-Central Oak Barrens","Hardwood",49,180,6,5,10,3,87,"I-A",255,235,176,1,0.921569,0.690196,1693986,0.6
