OID_,VALUE,COUNT,CLIP_OUTRASTER_L,CLIP_OUTRASTER_1,BPS_MODEL,BPS_NAME,GROUPVEG,EVT_NAME,EVT_PHYS
0,1,36468107,11,7292,0,Open Water,Open Water,Open Water,Open Water
1,2,9048654,1608,9056,14770_40_41_50_51,Boreal Acidic Peatland Systems,Riparian,Boreal-Laurentian Conifer Acidic Swamp and Treed Poor Fen,Riparian
2,3,7305,-1111,7292,-1111,Fill-Not Mapped,Fill-Not Mapped,Open Water,Open Water
3,4,225131,1608,9118,14770_40_41_50_51,Boreal Acidic Peatland Systems,Riparian,Laurentian-Acadian Freshwater Marsh,Riparian
4,5,1096330,1608,9120,14770_40_41_50_51,Boreal Acidic Peatland Systems,Riparian,Laurentian-Acadian Wet Meadow,Riparian
5,6,1164074,1613,9120,14940_41_50_51,Laurentian-Acadian Shrub-Herbaceous Wetland Systems,Riparian,Laurentian-Acadian Wet Meadow,Riparian
6,7,4196724,1608,7481,14770_40_41_50_51,Boreal Acidic Peatland Systems,Riparian,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Riparian
7,8,447998,1613,9620,14940_41_50_51,Laurentian-Acadian Shrub-Herbaceous Wetland Systems,Riparian,Laurentian-Acadian Shrub Swamp,Riparian
8,9,895762,1613,7481,14940_41_50_51,Laurentian-Acadian Shrub-Herbaceous Wetland Systems,Riparian,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Riparian
9,10,12189,1608,7444,14770_40_41_50_51,Boreal Acidic Peatland Systems,Riparian,Eastern Boreal Floodplain Woodland,Riparian
10,11,651693,1613,9056,14940_41_50_51,Laurentian-Acadian Shrub-Herbaceous Wetland Systems,Riparian,Boreal-Laurentian Conifer Acidic Swamp and Treed Poor Fen,Riparian
11,12,254271,1608,9117,14770_40_41_50_51,Boreal Acidic Peatland Systems,Riparian,Laurentian-Acadian Floodplain Forest,Riparian
12,13,108054,1613,9118,14940_41_50_51,Laurentian-Acadian Shrub-Herbaceous Wetland Systems,Riparian,Laurentian-Acadian Freshwater Marsh,Riparian
13,14,208995,1613,9057,14940_41_50_51,Laurentian-Acadian Shrub-Herbaceous Wetland Systems,Riparian,Boreal-Laurentian-Acadian Acidic Basin Fen,Riparian
14,15,741255,1608,9057,14770_40_41_50_51,Boreal Acidic Peatland Systems,Riparian,Boreal-Laurentian-Acadian Acidic Basin Fen,Riparian
15,16,787531,1608,9620,14770_40_41_50_51,Boreal Acidic Peatland Systems,Riparian,Laurentian-Acadian Shrub Swamp,Riparian
16,17,45722,1613,9117,14940_41_50_51,Laurentian-Acadian Shrub-Herbaceous Wetland Systems,Riparian,Laurentian-Acadian Floodplain Forest,Riparian
17,18,24701,1613,7301,14940_41_50_51,Laurentian-Acadian Shrub-Herbaceous Wetland Systems,Riparian,Laurentian-Acadian Sub-boreal Aspen-Birch Forest,Hardwood
18,19,18956,1605,7444,14440_41_50_51,Eastern Boreal Floodplain,Hardwood,Eastern Boreal Floodplain Woodland,Riparian
19,20,309893,1608,7301,14770_40_41_50_51,Boreal Acidic Peatland Systems,Riparian,Laurentian-Acadian Sub-boreal Aspen-Birch Forest,Hardwood
20,21,59955,1613,9817,14940_41_50_51,Laurentian-Acadian Shrub-Herbaceous Wetland Systems,Riparian,Northern & Central Ruderal Meadow,Exotic Herbaceous
21,22,1000620,1605,7481,14440_41_50_51,Eastern Boreal Floodplain,Hardwood,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Riparian
22,23,150465,1608,9817,14770_40_41_50_51,Boreal Acidic Peatland Systems,Riparian,Northern & Central Ruderal Meadow,Exotic Herbaceous
23,24,66774,1608,9088,14770_40_41_50_51,Boreal Acidic Peatland Systems,Riparian,Laurentian-Acadian Sub-boreal Dry-Mesic Pine-Black Spruce Forest,Conifer
24,25,174755,1610,9117,14810_41_50_51_63,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Riparian,Laurentian-Acadian Floodplain Forest,Riparian
25,26,5947,1610,7444,14810_41_50_51_63,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Riparian,Eastern Boreal Floodplain Woodland,Riparian
26,27,1772321,1610,7481,14810_41_50_51_63,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Riparian,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Riparian
