OID_,VALUE,COUNT,CLIP_OUTRASTER_L,CLIP_OUTRASTER_1,BPS_MODEL,BPS_NAME,GROUPVEG,LABEL
0,1,36468107,11,111,0,Open Water,Open Water,Water
1,2,8597408,1608,4,14770_40_41_50_51,Boreal Acidic Peatland Systems,Riparian,D
2,3,8829,-1111,-1111,-1111,Fill-Not Mapped,Fill-Not Mapped,Fill-Not Mapped
3,4,1264134,1608,2,14770_40_41_50_51,Boreal Acidic Peatland Systems,Riparian,B
4,5,486480,1613,2,14940_41_50_51,Laurentian-Acadian Shrub-Herbaceous Wetland Systems,Riparian,B
5,6,2628919,1613,6,14940_41_50_51,Laurentian-Acadian Shrub-Herbaceous Wetland Systems,Riparian,UN
6,7,878390,1608,6,14770_40_41_50_51,Boreal Acidic Peatland Systems,Riparian,UN
7,8,6864114,1608,3,14770_40_41_50_51,Boreal Acidic Peatland Systems,Riparian,C
8,9,785838,1613,4,14940_41_50_51,Laurentian-Acadian Shrub-Herbaceous Wetland Systems,Riparian,D
9,10,1721195,1608,1,14770_40_41_50_51,Boreal Acidic Peatland Systems,Riparian,A
10,11,1280125,1605,3,14440_41_50_51,Eastern Boreal Floodplain,Hardwood,C
11,12,102397,1613,7,14940_41_50_51,Laurentian-Acadian Shrub-Herbaceous Wetland Systems,Riparian,UE
12,13,279664,1608,7,14770_40_41_50_51,Boreal Acidic Peatland Systems,Riparian,UE
13,14,310904,1610,3,14810_41_50_51_63,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Riparian,C
14,15,3524451,1610,4,14810_41_50_51_63,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Riparian,D
15,16,1913558,1597,4,13652_41,Boreal White Spruce-Fir-Hardwood Forest-Coastal,Conifer,D
16,17,133593,1610,7,14810_41_50_51_63,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Riparian,UE
17,18,10395903,1596,4,13651_40_41_50,Boreal White Spruce-Fir-Hardwood Forest-Inland,Conifer,D
18,19,764532,1610,1,14810_41_50_51_63,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Riparian,A
19,20,74980,1610,120,14810_41_50_51_63,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Riparian,Developed
20,21,1871273,1593,3,13440_41,Boreal Jack Pine-Black Spruce Forest,Conifer,C
21,22,196891,1610,180,14810_41_50_51_63,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Riparian,Agriculture
22,23,166437,1610,2,14810_41_50_51_63,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Riparian,B
23,24,169806,1593,7,13440_41,Boreal Jack Pine-Black Spruce Forest,Conifer,UE
24,25,169049,1593,1,13440_41,Boreal Jack Pine-Black Spruce Forest,Conifer,A
25,26,217840,1608,120,14770_40_41_50_51,Boreal Acidic Peatland Systems,Riparian,Developed
26,27,397322,1608,180,14770_40_41_50_51,Boreal Acidic Peatland Systems,Riparian,Agriculture
27,28,3401442,1588,6,13022_41_50_51,Laurentian-Acadian Northern Hardwoods Forest-Hemlock,Hardwood,UN
28,29,400032,1588,7,13022_41_50_51,Laurentian-Acadian Northern Hardwoods Forest-Hemlock,Hardwood,UE
29,30,435908,1596,7,13651_40_41_50,Boreal White Spruce-Fir-Hardwood Forest-Inland,Conifer,UE
30,31,6432885,1588,5,13022_41_50_51,Laurentian-Acadian Northern Hardwoods Forest-Hemlock,Hardwood,E
31,32,343537,1607,3,14750_41_50_51_63_64_65_66,Laurentian-Acadian Floodplain Systems,Riparian,C
32,33,1591403,1607,6,14750_41_50_51_63_64_65_66,Laurentian-Acadian Floodplain Systems,Riparian,UN
33,34,105862,1588,2,13022_41_50_51,Laurentian-Acadian Northern Hardwoods Forest-Hemlock,Hardwood,B
34,35,226249,1596,3,13651_40_41_50,Boreal White Spruce-Fir-Hardwood Forest-Inland,Conifer,C
35,36,44425,1613,120,14940_41_50_51,Laurentian-Acadian Shrub-Herbaceous Wetland Systems,Riparian,Developed
36,37,1072514,1593,5,13440_41,Boreal Jack Pine-Black Spruce Forest,Conifer,E
37,38,312168,1613,180,14940_41_50_51,Laurentian-Acadian Shrub-Herbaceous Wetland Systems,Riparian,Agriculture
