"join_field","model_code","ref_label","ref_percent","bps_name","state_class_id","age_category","canopy_category","cur_scls_count","bps_count","bps_acres","ref_scls_acres","cur_scls_acres","cur_percent"
"11620_31_39_40_A","11620_31_39_40","A",14,"Western Great Plains Floodplain Systems","Early1:ALL","Early1","ALL",305,625,139,19,68,49
"11620_31_39_40_B","11620_31_39_40","B",28,"Western Great Plains Floodplain Systems","Mid1:CLS","Mid1","CLS",85,625,139,39,19,14
"11620_31_39_40_C","11620_31_39_40","C",36,"Western Great Plains Floodplain Systems","Late1:CLS","Late1","CLS",NA,625,139,50,NA,NA
"11620_31_39_40_D","11620_31_39_40","D",11,"Western Great Plains Floodplain Systems","Late2:CLS","Late2","CLS",5,625,139,15,1,1
"11620_31_39_40_E","11620_31_39_40","E",11,"Western Great Plains Floodplain Systems","Late3:CLS","Late3","CLS",NA,625,139,15,NA,NA
"11620_31_39_40_Agriculture","11620_31_39_40","Agriculture",0,"Western Great Plains Floodplain Systems",NA,NA,NA,210,625,139,0,47,34
"11620_31_39_40_Urban","11620_31_39_40","Urban",0,"Western Great Plains Floodplain Systems",NA,NA,NA,7,625,139,0,2,1
"11620_31_39_40_Water","11620_31_39_40","Water",0,"Western Great Plains Floodplain Systems",NA,NA,NA,NA,625,139,0,NA,NA
"11620_31_39_40_UN","11620_31_39_40","UN",0,"Western Great Plains Floodplain Systems",NA,NA,NA,NA,625,139,0,NA,NA
"11620_31_39_40_UE","11620_31_39_40","UE",0,"Western Great Plains Floodplain Systems",NA,NA,NA,13,625,139,0,3,2
"13010_40_A","13010_40","A",32,"Boreal Aspen-Birch Forest","Early1:ALL","Early1","ALL",27000,366877,81591,26109,6005,7
"13010_40_B","13010_40","B",29,"Boreal Aspen-Birch Forest","Mid1:CLS","Mid1","CLS",142644,366877,81591,23662,31723,39
"13010_40_C","13010_40","C",18,"Boreal Aspen-Birch Forest","Late1:CLS","Late1","CLS",79904,366877,81591,14686,17770,22
"13010_40_D","13010_40","D",21,"Boreal Aspen-Birch Forest","Late2:CLS","Late2","CLS",9961,366877,81591,17134,2215,3
"13010_40_E","13010_40","E",NA,"Boreal Aspen-Birch Forest",NA,NA,NA,NA,366877,81591,NA,NA,NA
"13010_40_Agriculture","13010_40","Agriculture",0,"Boreal Aspen-Birch Forest",NA,NA,NA,92719,366877,81591,0,20620,25
"13010_40_Urban","13010_40","Urban",0,"Boreal Aspen-Birch Forest",NA,NA,NA,6999,366877,81591,0,1557,2
"13010_40_Water","13010_40","Water",0,"Boreal Aspen-Birch Forest",NA,NA,NA,NA,366877,81591,0,NA,NA
